Name,Team,Sport,Gold,Silver,Bronze,Image
"Alden Reamer ""Zeke"" Sanborn",United States,Rowing,1,0,0,
Aldis Imants Berzins,United States,Volleyball,1,0,0,
Aldo Aureggi,Italy,Fencing,0,1,0,
Aldo Dezi,Italy,Canoeing,0,1,0,
Aldo Eminente,France,Swimming,0,0,1,
Aldo Ghira,Italy,Water Polo,1,0,0,
Aldo Masciotta,Italy,Fencing,0,1,0,
Aldo Montano,Italy,Fencing,1,3,2,
Aldo Nadi,Italy,Fencing,3,1,0,
Aldo Tarlao,Italy,Rowing,0,1,0,
Aldona esaityt-Nennien,Soviet Union,Handball,2,0,0,
Ale Hemsk,Czech Republic,Ice Hockey,0,0,1,
Ale Kotalk,Czech Republic,Ice Hockey,0,0,1,
Ale Valenta,Czech Republic,Freestyle Skiing,1,0,0,
Alec Potts,Australia,Archery,0,0,1,
Aleen May Bailey,Jamaica,Athletics,1,0,0,
Alejandra Laura Gulla,Argentina,Hockey,0,0,2,
Alejandra Orozco Loza,Mexico,Diving,0,1,0,
Alejandra Quereda Flores,Spain,Rhythmic Gymnastics,0,1,0,
Alejandra de la Guerra,Peru,Volleyball,0,1,0,
Alejandrina Mireya Luis Hernndez,Cuba,Volleyball,3,0,0,
"Alejandro ""lex"" Abrines Redondo",Spain,Basketball,0,0,1,
Alejandro Abascal Garca,Spain,Sailing,1,0,0,
Alejandro Ariel Montecchia,Argentina,Basketball,1,0,0,
Alejandro Diz,Argentina,Volleyball,0,0,1,
Alejandro Francisco Casaas Ramrez,Cuba,Athletics,0,2,0,
Alejandro Puerto Daz,Cuba,Wrestling,1,0,0,
Alejandro Urgells Guibot,Cuba,Basketball,0,0,1,
Aleksa aponji,Serbia,Water Polo,0,0,1,
Aleksandar Atanackovi,Yugoslavia,Football,0,1,0,
Aleksandar D. Nikolov,Bulgaria,Boxing,0,0,1,
Aleksandar Ivanov Khristov,Bulgaria,Boxing,0,1,0,
Aleksandar Kozlina,Yugoslavia,Football,1,0,0,
Aleksandar Kraychev,Bulgaria,Weightlifting,0,1,0,
Aleksandar Petrovi,Yugoslavia,Basketball,0,0,1,
Aleksandar Tomov Lazarov,Bulgaria,Wrestling,0,3,0,
Aleksandar Varbanov,Bulgaria,Weightlifting,0,0,1,
Aleksandar api,Serbia,Water Polo,0,0,1,
Aleksandar api,Serbia and Montenegro,Water Polo,0,1,1,
Aleksandar iri,Serbia,Water Polo,0,0,1,
Aleksandar iri,Serbia and Montenegro,Water Polo,0,1,1,
Aleksandar otar,Yugoslavia,Water Polo,1,0,0,
Aleksandar otar,Serbia and Montenegro,Water Polo,0,0,1,
"Aleksander ""Saa"" orevi",Serbia and Montenegro,Basketball,0,1,0,
Aleksander Antoni Wodzimierz Maecki (Saryusz),Poland,Fencing,0,0,1,
Aleksander Barkov,Finland,Ice Hockey,0,0,1,
Aleksander Dominik Kak,Poland,Football,0,1,0,
Aleksander Jan Cicho,Poland,Wrestling,0,0,1,
Aleksander Klumberg (-Kolmpere),Estonia,Athletics,0,0,1,
Aleksander Tammert,Estonia,Athletics,0,0,1,
Aleksander Tutelov,Soviet Union,Sailing,0,1,0,
"Aleksandr ""Alex"" Parygin",Kazakhstan,Modern Pentathlon,1,0,0,
Aleksandr Aleksandrovich Anufriyev,Soviet Union,Athletics,0,0,1,
Aleksandr Aleksandrovich Belov,Soviet Union,Basketball,1,0,1,
Aleksandr Aleksandrovich Blinov,Russia,Shooting,0,1,0,
Aleksandr Aleksandrovich Boloshev,Soviet Union,Basketball,1,0,0,
Aleksandr Aleksandrovich Chernykh,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Aleksandrovich Karelin,Soviet Union,Wrestling,1,0,0,
Aleksandr Aleksandrovich Karelin,Russia,Wrestling,1,1,0,
Aleksandr Aleksandrovich Karelin,Unified Team,Wrestling,1,0,0,
Aleksandr Aleksandrovich Kirichenko,Soviet Union,Cycling,1,0,0,
Aleksandr Aleksandrovich Smyshlyayev,Russia,Freestyle Skiing,0,0,1,
Aleksandr Aleksandrovich Volkov,Russia,Volleyball,1,0,1,
Aleksandr Aleksandrovich Zavyalov,Soviet Union,Cross Country Skiing,0,2,1,
Aleksandr Alekseyevich Minayev,Soviet Union,Football,0,0,1,
Aleksandr Alekseyevich Tarasov,Soviet Union,Modern Pentathlon,1,0,0,
Aleksandr Anatolyevich Butko,Russia,Volleyball,1,0,0,
Aleksandr Anatolyevich Maseykov,Unified Team,Canoeing,1,0,0,
Aleksandr Anatolyevich Pavlovsky,Soviet Union,Fencing,0,0,1,
Aleksandr Anatolyevich Romankov,Soviet Union,Fencing,1,2,2,
Aleksandr Anatolyevich Rymanov,Soviet Union,Handball,1,0,0,
Aleksandr Anatolyevich Yeryshov,Russia,Water Polo,0,1,1,
Aleksandr Andreyevich Bessmertnykh,Russia,Cross Country Skiing,0,1,0,
Aleksandr Andreyevich Dumchev,Soviet Union,Rowing,0,1,0,
Aleksandr Andreyevich Sema,Soviet Union,Rowing,1,0,0,
Aleksandr Arkadyevich Tuchkin,Soviet Union,Handball,1,0,0,
Aleksandr Arkadyevich Tuchkin,Russia,Handball,1,0,1,
Aleksandr Borisovich Kosaryev,Russia,Volleyball,0,0,2,
Aleksandr Borisovich Lebzyak,Russia,Boxing,1,0,0,
Aleksandr Borisovich Savin,Soviet Union,Volleyball,1,1,0,
Aleksandr Borisovich Yermilov,Soviet Union,Volleyball,1,1,0,
Aleksandr Davletovich Almetov,Soviet Union,Ice Hockey,1,0,1,
Aleksandr Diomidovich Rodionov,Gallia II,Sailing,0,0,1,
Aleksandr Dokturishvili,Uzbekistan,Wrestling,1,0,0,
Aleksandr Eduardovich Panzhinsky,Russia,Cross Country Skiing,0,1,0,
Aleksandr Fyodorovich Budnikov,Soviet Union,Sailing,0,1,0,
Aleksandr Fyodorovich Makarov,Soviet Union,Athletics,0,1,0,
Aleksandr Gennadiyevich Mogilny,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Gennadyevich Krasnov,Soviet Union,Cycling,1,0,0,
Aleksandr Gennadyevich Legkov,Russia,Cross Country Skiing,1,1,0,
Aleksandr Gennadyevich Zaytsev,Soviet Union-1,Figure Skating,2,0,0,
Aleksandr Genrikhovich Borodyuk,Soviet Union,Football,1,0,0,
Aleksandr Georgiyevich Baryshnikov,Soviet Union,Athletics,0,1,1,
Aleksandr Georgiyevich Gerasimov,Russia,Volleyball,0,1,0,
Aleksandr Georgiyevich Gorshkov,Soviet Union-1,Figure Skating,1,0,0,
Aleksandr Georgiyevich Martyshkin,Soviet Union,Rowing,0,0,1,
Aleksandr Georgiyevich Shidlovsky,Soviet Union,Water Polo,1,1,0,
Aleksandr Grigoryevich Klepikov,Soviet Union,Rowing,1,0,0,
Aleksandr Igorevich Dyachenko,Russia,Canoeing,1,0,0,
Aleksandr Ivanovich Blinov,Soviet Union,Equestrianism,1,1,0,
Aleksandr Ivanovich Dolgushin,Soviet Union,Water Polo,1,1,0,
Aleksandr Ivanovich Maletin,Russia,Boxing,0,0,1,
Aleksandr Ivanovich Maleyev,Soviet Union,Gymnastics,0,1,0,
Aleksandr Ivanovich Moiseyev,Soviet Union,Basketball,0,1,0,
Aleksandr Ivanovich Myasnikov,Soviet Union,Hockey,0,0,1,
Aleksandr Ivanovich Tikhonov,Soviet Union,Biathlon,4,1,0,
Aleksandr Ivanovich Timoshinin,Soviet Union,Rowing,2,0,0,
Aleksandr Konstantinovich Dreval,Soviet Union,Water Polo,1,0,0,
Aleksandr Konstantinovich Ivanov,Russia,Weightlifting,0,1,0,
Aleksandr Konstantinovich Pashkov,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Konstantinovich Travin,Soviet Union,Basketball,0,1,0,
Aleksandr Leonidovich Lesun,Russia,Modern Pentathlon,1,0,0,
Aleksandr Matveyevich Yelizarov,Soviet Union,Biathlon,1,0,1,
Aleksandr Mikhaylovich Dobroskok,Russia,Diving,0,1,0,
Aleksandr Mikhaylovich Kosenkov,Soviet Union,Diving,0,0,1,
Aleksandr Mikhaylovich Saprykin,Soviet Union,Volleyball,0,0,1,
Aleksandr Mikhaylovich Sychov,Soviet Union,Hockey,0,0,1,
Aleksandr Nikiforovich Voronin,Soviet Union,Weightlifting,1,0,0,
Aleksandr Nikolayevich Berkutov,Soviet Union,Rowing,1,1,0,
Aleksandr Nikolayevich Dityatin,Soviet Union,Gymnastics,3,6,1,
Aleksandr Nikolayevich Golikov,Soviet Union,Ice Hockey,0,1,0,
Aleksandr Nikolayevich Ivanov,Soviet Union,Wrestling,0,1,0,
Aleksandr Nikolayevich Koshkin,Soviet Union,Boxing,0,1,0,
Aleksandr Nikolayevich Kurlovich,Soviet Union,Weightlifting,1,0,0,
Aleksandr Nikolayevich Kurlovich,Unified Team,Weightlifting,1,0,0,
Aleksandr Nikolayevich Maltsev,Soviet Union,Ice Hockey,2,1,0,
Aleksandr Nikolayevich Moskalenko,Russia,Trampolining,1,1,0,
Aleksandr Nikolayevich Perov,Soviet Union,Cycling,0,1,0,
Aleksandr Nikolayevich Puchkov,Soviet Union,Athletics,0,0,1,
Aleksandr Nikolayevich Rogov,Soviet Union,Canoeing,1,0,0,
Aleksandr Nikolayevich Sidelnikov,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Nikolayevich Sukhorukov,Russia,Swimming,0,1,0,
Aleksandr Nikolayevich Uvarov,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Nikolayevich Vinokurov,Kazakhstan,Cycling,1,1,0,
Aleksandr Nikolayevich Zabelin,Soviet Union,Shooting,0,0,1,
Aleksandr Olegovich Fedorovsky,Soviet Union,Swimming,0,1,0,
Aleksandr Olegovich Kaun,Russia,Basketball,0,0,1,
Aleksandr Olegovich Kornelyuk,Soviet Union,Athletics,0,1,0,
Aleksandr Pavlovich Kurynov,Soviet Union,Weightlifting,1,0,0,
Aleksandr Pavlovich Petrov,Soviet Union,Basketball,0,2,0,
Aleksandr Pavlovich Ragulin,Soviet Union,Ice Hockey,3,0,0,
Aleksandr Pavlovich Silayev,Soviet Union,Canoeing,0,1,0,
Aleksandr Petrovich Gerasimov,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Petrovich Gusev,Soviet Union,Hockey,0,0,1,
Aleksandr Petrovich Kedyarov,Soviet Union,Shooting,0,1,0,
Aleksandr Petrovich Petrov,Russia,Wrestling,0,1,0,
Aleksandr Remmovich Melentyev,Soviet Union,Shooting,1,0,0,
Aleksandr Sergeyevich Fedorov,Russia,Water Polo,0,0,1,
Aleksandr Sergeyevich Goncharov,Soviet Union,Hockey,0,0,1,
Aleksandr Sergeyevich Kabanov,Soviet Union,Water Polo,2,0,0,
Aleksandr Sergeyevich Shirshov,Unified Team,Fencing,1,0,0,
Aleksandr Sergeyevich Sokolov,Russia,Volleyball,1,0,0,
Aleksandr Sergeyevich Yakushev,Soviet Union,Ice Hockey,2,0,0,
Aleksandr Sergeyevich Zaychikov,Kazakhstan,Weightlifting,0,0,1,
Aleksandr Staliyevich Portnov,Soviet Union,Diving,1,0,0,
Aleksandr Stanislavovich Kolotov,Soviet Union,Water Polo,0,0,1,
Aleksandr Stanislavovich Kolotov,Unified Team,Water Polo,0,0,1,
Aleksandr Timofeyevich Aksinin,Soviet Union,Athletics,1,0,1,
Aleksandr Timofeyevich Prokopenko,Soviet Union,Football,0,0,1,
Aleksandr Valentinovich Mozhayev,Soviet Union,Fencing,0,0,1,
Aleksandr Valeryevich Gorbatikov,Russia,Handball,0,0,1,
Aleksandr Valeryevich Pavlov,Belarus,Wrestling,0,1,0,
Aleksandr Vasilyevich Gazov,Soviet Union,Shooting,1,0,1,
Aleksandr Vasilyevich Medved,Soviet Union,Wrestling,3,0,0,
Aleksandr Vasilyevich Panfilov,Soviet Union,Cycling,0,1,0,
Aleksandr Vasilyevich Privalov,Soviet Union,Biathlon,0,1,1,
Aleksandr Vasilyevich Samsonov,Soviet Union,Swimming,0,0,1,
Aleksandr Vasilyevich Tkachov,Soviet Union,Gymnastics,2,1,0,
Aleksandr Veniaminovich Abushakhmetov,Soviet Union,Fencing,0,0,1,
Aleksandr Vikentyevich Skvortsov,Soviet Union,Ice Hockey,1,1,0,
"Aleksandr Viktorovich ""Alex"" Miroshnichenko",Soviet Union,Boxing,0,0,1,
Aleksandr Viktorovich Bogdanovich,Belarus,Canoeing,1,1,0,
Aleksandr Viktorovich Kolobnev,Russia,Cycling,0,0,1,
Aleksandr Viktorovich Kostoglod,Russia,Canoeing,0,2,1,
Aleksandr Viktorovich Kozhevnikov,Soviet Union,Ice Hockey,2,0,0,
Aleksandr Viktorovich Kulagin,Soviet Union,Rowing,0,1,0,
Aleksandr Viktorovich Lukyanov,Soviet Union,Rowing,1,2,0,
Aleksandr Viktorovich Lukyanov,Russia,Rowing,0,0,1,
Aleksandr Vladimirovich Beketov,Russia,Fencing,1,1,0,
Aleksandr Vladimirovich Belyakov,Soviet Union-1,Luge,0,1,0,
Aleksandr Vladimirovich Degtyaryov,Soviet Union,Canoeing,1,0,0,
Aleksandr Vladimirovich Denisyev,Russia,Luge,0,1,0,
Aleksandr Vladimirovich Gusev,Soviet Union,Ice Hockey,1,0,0,
Aleksandr Vladimirovich Ivanitsky,Soviet Union,Wrestling,1,0,0,
Aleksandr Vladimirovich Karshakevich,Soviet Union,Handball,1,1,0,
Aleksandr Vladimirovich Korneyev,Russia,Volleyball,0,0,1,
Aleksandr Vladimirovich Kovalyov,Russia,Canoeing,0,1,1,
Aleksandr Vladimirovich Popov,Soviet Union,Biathlon,1,0,0,
Aleksandr Vladimirovich Popov,Russia,Swimming,2,3,0,
Aleksandr Vladimirovich Popov,Unified Team,Biathlon,0,1,0,
Aleksandr Vladimirovich Popov,Unified Team,Swimming,2,2,0,
Aleksandr Vladimirovich Povetkin,Russia,Boxing,1,0,0,
Aleksandr Vladimirovich Tretyakov,Russia,Skeleton,1,0,1,
Aleksandr Vladimirovich Tretyakov,Russia,Wrestling,0,0,1,
"Aleksandr Vyacheslavovich ""Sasha"" Zhulin",Russia-2,Figure Skating,0,1,0,
"Aleksandr Vyacheslavovich ""Sasha"" Zhulin",Unified Team-2,Figure Skating,0,0,1,
Aleksandr Vyacheslavovich Golubyov,Russia,Speed Skating,1,0,0,
Aleksandr Vyacheslavovich Mikhaylin,Russia,Judo,0,1,0,
Aleksandr Vyacheslavovich Ogorodnikov,Unified Team,Water Polo,0,0,1,
Aleksandr Yudayevich Gorelik,Soviet Union-2,Figure Skating,0,1,0,
Aleksandr Yuryevich Chayev,Soviet Union,Swimming,0,1,0,
Aleksandr Yuryevich Kovalenko,Soviet Union,Athletics,0,0,1,
Aleksandr Yuryevich Vinogradov,Soviet Union,Canoeing,2,0,0,
Aleksandr Yuryevich Zubkov,Russia-1,Bobsleigh,2,1,1,
Aleksandra Aleksandrovna Leonova (-Rzhevskaya),Soviet Union,Basketball,0,0,1,
Aleksandra Andreyevna Fedoriva,Russia,Athletics,1,0,0,
Aleksandra Cotti,Italy,Water Polo,0,1,0,
Aleksandra Crvendaki,Serbia,Basketball,0,0,1,
Aleksandra Georgiyevna Chudina,Soviet Union,Athletics,0,2,1,
Aleksandra Ivanovna Zabelina,Soviet Union,Fencing,3,0,0,
Aleksandra Ivoev,Serbia and Montenegro,Shooting,1,0,1,
Aleksandra Sergeyevna Narkevich,Belarus,Rhythmic Gymnastics,0,1,0,
Aleksandra Viktorovna Gerasimenya,Belarus,Swimming,0,2,1,
Aleksandra Vyacheslavovna Patskevich,Russia,Synchronized Swimming,2,0,0,
Aleksandra Yuryevna Pankina,Belarus,Rowing,0,0,1,
Aleksandras Kazakeviius,Lithuania,Wrestling,0,0,1,
Aleksandre Anp'ilogovi,Soviet Union,Handball,1,1,0,
Aleksandre Chivadze,Soviet Union,Football,0,0,1,
Aleksandrs Jackvis,Soviet Union,Judo,0,0,1,
Aleksandrs Muzienko,Soviet Union,Sailing,1,0,0,
Aleksanteri Saarvala (Schabarin-),Finland,Gymnastics,2,0,1,
Aleksanteri Toivola,Finland,Wrestling,0,1,0,
Aleksei Budlin,Estonia,Judo,0,0,1,
Aleksey Aleksandrovich Abalmasov,Belarus,Canoeing,1,0,0,
Aleksey Aleksandrovich Alipov,Russia,Shooting,1,0,1,
Aleksey Aleksandrovich Negodaylo,Russia-1,Bobsleigh,1,0,0,
Aleksey Aleksandrovich Obmochayev,Russia,Volleyball,1,0,0,
Aleksey Aleksandrovich Ostapenko,Russia,Volleyball,0,0,1,
Aleksey Aleksandrovich Paramonov,Soviet Union,Football,1,0,0,
Aleksey Aleksandrovich Petrov,Russia,Weightlifting,1,0,1,
Aleksey Alekseyevich Denisenko,Russia,Taekwondo,0,1,1,
Aleksey Alekseyevich Morozov,Russia,Ice Hockey,0,1,0,
Aleksey Alekseyevich Prokurorov,Soviet Union,Cross Country Skiing,1,1,0,
Aleksey Anatolyevich Volkov,Russia,Biathlon,1,0,0,
Aleksey Andreyevich Yakimenko,Russia,Fencing,0,0,1,
Aleksey Borisovich Cheremisinov,Russia,Fencing,1,0,0,
Aleksey Dmitriyevich Kamkin,Soviet Union,Rowing,0,1,0,
Aleksey Filippovich Komarov,Soviet Union,Rowing,0,1,0,
Aleksey Gennadyevich Grishin,Belarus,Freestyle Skiing,1,0,1,
Aleksey Igorevich Korovashkov,Russia,Canoeing,0,0,1,
Aleksey Igoryevich Verbov,Russia,Volleyball,0,0,2,
Aleksey Ivanovich Kiselyov,Soviet Union,Boxing,0,2,0,
Aleksey Ivanovich Kuznetsov,Soviet Union,Cross Country Skiing,0,0,1,
Aleksey Ivanovich Vakhonin,Soviet Union,Weightlifting,1,0,0,
Aleksey Ivanovich Voyevoda,Russia-1,Bobsleigh,2,1,1,
Aleksey Konstantinovich Yagudin,Russia,Figure Skating,1,0,0,
Aleksey Mikhaylovich Frosin,Russia,Fencing,1,0,0,
Aleksey Mikhaylovich Guryshev,Soviet Union,Ice Hockey,1,0,0,
Aleksey Mikhaylovich Markov,Russia,Cycling,0,1,2,
Aleksey Nikolayevich Seliverstov,Russia-1,Bobsleigh,0,1,0,
Aleksey Nikolayevich Ulanov,Soviet Union-1,Figure Skating,1,0,0,
Aleksey Nikolayevich Voropayev,Russia,Gymnastics,1,0,0,
Aleksey Nikolayevich Voropayev,Unified Team,Gymnastics,1,0,0,
Aleksey Nikolayevich Voyevodin,Russia,Athletics,0,0,1,
Aleksey Nikolayevich Zhitnik,Russia,Ice Hockey,0,1,0,
Aleksey Nikolayevich Zhitnik,Unified Team,Ice Hockey,1,0,0,
Aleksey Petrovich Aydarov,Belarus,Biathlon,0,0,1,
Aleksey Petrovich Bondarenko,Russia,Gymnastics,0,1,1,
Aleksey Petrovich Gushchin,Soviet Union,Shooting,1,0,0,
Aleksey Petrovich Rastvortsev,Russia,Handball,0,0,1,
Aleksey Sergeyevich Spiridonov,Soviet Union,Athletics,0,1,0,
Aleksey Stepanovich Petrov,Soviet Union,Cycling,0,0,1,
Aleksey Valentinovich Kudryavtsev,Unified Team,Swimming,1,0,0,
Aleksey Valeryevich Kazakov,Russia,Volleyball,0,1,1,
Aleksey Valeryevich Yashin,Russia,Ice Hockey,0,1,1,
Aleksey Vasilyevich Gusarov,Soviet Union,Ice Hockey,1,0,0,
Aleksey Vasilyevich Gusarov,Russia,Ice Hockey,0,1,0,
Aleksey Vasilyevich Shumakov,Soviet Union,Wrestling,1,0,0,
Aleksey Veniaminovich Kostygov,Russia,Handball,0,0,1,
Aleksey Viktorovich Kasatonov,Soviet Union,Ice Hockey,2,1,0,
Aleksey Viktorovich Markovsky,Soviet Union,Swimming,0,1,0,
Aleksey Viktorovich Shved,Russia,Basketball,0,0,1,
Aleksey Viktorovich Tishchenko,Russia,Boxing,2,0,0,
Aleksey Vladimirovich Dyachenko,Russia,Fencing,0,0,1,
Aleksey Vladimirovich Kuleshov,Russia,Volleyball,0,1,2,
Aleksey Vladimirovich Lyozin,Russia,Boxing,0,0,1,
Aleksey Vladimirovich Medvedev,Belarus,Wrestling,0,1,0,
Aleksey Vladimirovich Mishin,Russia,Wrestling,1,0,0,
Aleksey Vladimirovich Nikanchikov,Soviet Union,Fencing,0,1,0,
Aleksey Vladimirovich Svirin,Russia,Rowing,1,0,0,
Aleksey Vladimirovich Vdovin,Unified Team,Water Polo,0,0,1,
Aleksey Vladimirovich Zhuk,Soviet Union,Handball,0,1,0,
Aleksey Vyacheslavovich Kovalyov,Russia,Ice Hockey,0,0,1,
Aleksey Vyacheslavovich Kovalyov,Unified Team,Ice Hockey,1,0,0,
Aleksey Yevgenyevich Petukhov,Russia,Cross Country Skiing,0,0,1,
Aleksey Yevgenyevich Urmanov,Russia,Figure Skating,1,0,0,
Aleksey Yuryevich Glushkov,Russia,Wrestling,0,0,1,
Aleksey Yuryevich Nemov,Russia,Gymnastics,4,2,6,
Aleksey Yuryevich Zhamnov,Russia,Ice Hockey,0,1,1,
Aleksey Yuryevich Zhamnov,Unified Team,Ice Hockey,1,0,0,
Aleksy Antkiewicz,Poland,Boxing,0,1,1,
Alena Chadimov (-Daniov),Czechoslovakia,Gymnastics,0,0,1,
Alena Kyselicov (-Nejzlkov),Czechoslovakia,Hockey,0,1,0,
Alena Reichov (-Zmostn),Czechoslovakia,Gymnastics,0,0,1,
Alenka Cuderman,Yugoslavia,Handball,1,0,0,
Alenka Dovan,Slovenia,Alpine Skiing,0,0,1,
Alessandra Sensini,Italy,Sailing,1,1,2,
Alessandra dos Santos de Oliveira,Brazil,Basketball,0,1,1,
"Alessandro ""Alex"" Righetti",Italy,Basketball,0,1,0,
"Alessandro ""Sandro"" Bellucci",Italy,Athletics,0,0,1,
"Alessandro ""Sandro"" Campagna",Italy,Water Polo,1,0,0,
"Alessandro ""Sandro"" Lopopolo",Italy,Boxing,0,1,0,
Alessandro Alvisi,Italy,Equestrianism,0,0,2,
Alessandro Andrei,Italy,Athletics,1,0,0,
Alessandro Argenton,Italy,Equestrianism,1,1,0,
Alessandro Bovo,Italy,Water Polo,1,0,1,
Alessandro Calcaterra,Italy,Water Polo,0,0,1,
Alessandro Ciceri,Italy,Shooting,0,0,1,
Alessandro Corona,Italy,Rowing,0,0,1,
Alessandro D'Ottavio,Italy,Boxing,0,0,1,
Alessandro Fei,Italy,Volleyball,0,1,2,
Alessandro Ghibellini,Italy,Water Polo,0,1,0,
Alessandro Lambruschini,Italy,Athletics,0,0,1,
Alessandro Nora,Italy,Water Polo,0,0,1,
Alessandro Pirzio Biroli,Italy,Fencing,0,1,0,
Alessandro Pittin,Italy,Nordic Combined,0,0,1,
Alessandro Puccini,Italy,Fencing,1,0,0,
Alessandro Valerio,Italy,Equestrianism,0,1,0,
Alessandro Velotto,Italy,Water Polo,0,0,1,
Alessia Filippi,Italy,Swimming,0,1,0,
Alessio Sartori,Italy,Rowing,1,1,1,
Alesya Aleksandrovna Babushkina,Belarus,Rhythmic Gymnastics,0,0,1,
Aletta van Manen,Netherlands,Hockey,1,0,1,
Alette Hilde Sijbring,Netherlands,Water Polo,1,0,0,
Alevtina Pavlovna Kolchina (Leontyeva-),Soviet Union,Cross Country Skiing,1,1,3,
Alevtina Sergeyevna Olyunina-Smirnova (-Panarina),Soviet Union,Cross Country Skiing,1,1,0,
Alex Baumann,Switzerland-1,Bobsleigh,0,1,0,
Alex Corretja Verdegay,Spain,Tennis,0,0,1,
Alex Deibold,United States,Snowboarding,0,0,1,
"Alex Gerhard ""Lex"" Mullink",Netherlands,Rowing,0,0,1,
Alex Giorgetti,Italy,Water Polo,0,1,0,
Alex Izykowski,United States,Short Track Speed Skating,0,0,1,
Alex Nicki Rasmussen,Denmark,Cycling,0,1,0,
Alex Sandro Lobo Silva,Brazil,Football,0,1,0,
Alex Sandro da Silva,Brazil,Football,0,0,1,
Alex Schwazer,Italy,Athletics,1,0,0,
Alex Walter Diggelmann,Switzerland,Art Competitions,1,1,1,
"Alexander ""Alec"" McLean",New Zealand,Rowing,0,0,1,
"Alexander ""Alex"" Baumann",Canada,Swimming,2,0,0,
"Alexander ""Alex"" Edmondson",Australia,Cycling,0,1,0,
"Alexander ""Alex"" Hill",Australia,Rowing,0,1,0,
"Alexander ""Alex"" Nyarko",Ghana,Football,0,0,1,
"Alexander ""Alex"" Pietrangelo",Canada,Ice Hockey,1,0,0,
"Alexander ""Sandy"" Archer",Great Britain,Ice Hockey,1,0,0,
"Alexander ""Sandy"" Cowan",Winnipeg Shamrocks-1,Lacrosse,1,0,0,
Alexander Alan Budikusuma Wiratama,Indonesia,Badminton,1,0,0,
Alexander Baird Burt,Scotland-3,Hockey,0,0,1,
Alexander Belonogoff,Australia,Rowing,0,1,0,
"Alexander Brassey Jonathan ""Alec"" Scott",Great Britain,Equestrianism,0,0,1,
"Alexander Brengle ""Alex"" Hurd",Canada,Speed Skating,0,1,1,
Alexander Brouwer,Netherlands-1,Beach Volleyball,0,0,1,
Alexander Chen Massialas,United States,Fencing,0,1,1,
Alexander Cudmore,Christian Brothers' College-1,Football,0,1,0,
Alexander Dale Oen,Norway,Swimming,0,1,0,
Alexander Elliott Rogers,Great Britain,Shooting,0,0,1,
Alexander Elsdon Maunder,Great Britain,Shooting,0,1,1,
Alexander Elsdon Maunder,Great Britain-1,Shooting,1,0,0,
Alexander Frederick Yorke Scarlett,Great Britain,Rowing,1,0,0,
"Alexander German ""Sander"" Baart",Netherlands,Hockey,0,1,0,
Alexander Grimm,Germany,Canoeing,1,0,0,
"Alexander Guthrie ""Alastair"" Denniston",Scotland-3,Hockey,0,0,1,
"Alexander H. ""Alex"" Homberger",Switzerland,Rowing,0,1,1,
"Alexander Hendrik Willem ""Lex"" van Blijenburgh",Netherlands,Fencing,0,0,1,
"Alexander John ""Alex"" Gregory",Great Britain,Rowing,2,0,0,
"Alexander John ""Alex"" Groza",United States,Basketball,1,0,0,
Alexander Kidd,Liverpool Police Team-2,Tug-Of-War,0,1,0,
Alexander Koch,Germany,Fencing,1,0,0,
Alexander Kristoff,Norway,Cycling,0,0,1,
Alexander Lderitz,Germany,Swimming,0,0,1,
Alexander Lennart Steen,Sweden,Ice Hockey,0,1,0,
Alexander Mah Owens Drysdale,New Zealand,Rowing,2,0,1,
Alexander Malleta Kerr,Cuba,Baseball,0,1,0,
"Alexander Matthew ""Alex"" Partridge",Great Britain,Rowing,0,1,1,
Alexander McCulloch,Great Britain,Rowing,0,1,0,
"Alexander Michael ""Alex"" Naddour",United States,Gymnastics,0,0,1,
Alexander Michael Hirst Aikman,Australia,Rowing,0,0,1,
Alexander Munro,Great Britain,Tug-Of-War,0,1,0,
Alexander Munro,K Division Metropolitan Police Team-3,Tug-Of-War,0,0,1,
"Alexander Noble ""Sandy"" Hall",Galt Football Club,Football,1,0,0,
Alexander Petersson,Iceland,Handball,0,1,0,
Alexander Pusch,West Germany,Fencing,2,2,0,
"Alexander Ramsay ""Alex"" Ireland",Great Britain,Boxing,0,1,0,
Alexander Rdiger,Germany-1,Bobsleigh,0,1,0,
Alexander Resch,Germany-2,Luge,1,0,1,
Alexander Schowtka,West Germany,Swimming,0,1,0,
"Alexander Sheldon ""Alex"" Wilson",Canada,Athletics,0,1,3,
"Alexander Stuart ""Jock"" Sturrock",Buraddoo,Sailing,0,0,1,
Alexander Tchigir,Unified Team,Water Polo,0,0,1,
Alexander Thieme,East Germany,Athletics,0,1,0,
"Alexander Thomas ""Sandy"" Turnbull",Canada,Lacrosse,1,0,0,
"Alexander Timothy ""Tim"" McKee",United States,Swimming,0,3,0,
Alexander Viggo Jensen,Denmark,Shooting,0,0,1,
Alexander Viggo Jensen,Denmark,Weightlifting,1,1,0,
"Alexander Vladimirovich ""Sasha"" Artemev",United States,Gymnastics,0,0,1,
Alexander Weber (-Achten),Germany,Fencing,0,0,1,
Alexander Welter,Brazil,Sailing,1,0,0,
